figma_path,outcome,detail,url
banks/indo/bank-mandiri,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/32/e9/73/32e97344-be52-db91-23ee-42a3c82aa6eb/AppIcon-0-0-1x_U007emarketing-0-7-0-0-85-220.png/1024x1024bb.png
banks/indo/bri,downloaded,"brand-site | wordmark | 1.88:1 (horizontal, 256x136) | transparent",https://www.bri.co.id/web/guest/_next/image?url=https%3A%2F%2Fbri.co.id%2Fweb%2Fguest%2Fapi%2Ffiles%2F%3Fpath%3D%2Fsites%2Fdefault%2Ffiles%2Fimages%2FLogo%2520BRI_updated_blue%2520%25282%2529.png&w=256&q=75
banks/indo/bni,unusable,"24 candidate(s), none met the 128px floor",
banks/indo/bca,downloaded,"brand-press | wordmark | 2.24:1 (horizontal, 123x55) | vector (verify no baked-in background)",https://www.bca.co.id/-/media/Feature/Header/Header-Logo/logo-bca.svg?v=1
banks/indo/btn,downloaded,"brand-site | wordmark | 1.47:1 (horizontal, 22x15) | vector (verify no baked-in background)",https://www.btn.co.id/-/media/Images/Corporate/Flags/flags/flag_us.svg?h=24&w=28&hash=9B9730C8C0550B8BE8E6DFAD9C6FD0F5
banks/indo/bsi,downloaded,"brand-site | wordmark | 2.41:1 (horizontal, 3058x1271) | transparent",https://www.bankbsi.co.id/img/logo bewize.png
banks/indo/cimb-niaga,downloaded,"brand-site | wordmark | 4.07:1 (horizontal, 183x45) | vector (verify no baked-in background)",https://www.cimbniaga.co.id/content/dam/cimb/revamp/cimb-logo/logo-cimb-syariah.svg
banks/indo/danamon,downloaded,"brand-site | wordmark | 1.49:1 (horizontal, 91x61) | vector (verify no baked-in background)",https://www.danamon.co.id/-/media/Project/Danamon/DCWCOID/v1/Header/Logo/Logo-Danamon-Default-v1.svg?h=29&w=28
banks/indo/permata,downloaded,"brand-site | icon | 1.00:1 (square, 256x256) | transparent",https://www.permatabank.com/favicon.ico
banks/indo/panin,unusable,"4 candidate(s), none met the 128px floor",
banks/indo/ocbc-indonesia,downloaded,"brand-site | wordmark | 3.70:1 (horizontal, 1452x392) | transparent",https://cdn1.ocbc.id/asset/media/Project/OCBC/OCBCID/V1/Header/Logo-Menu/ocbc-white.png?h=392&w=1452&rev=31388dd61e9a4ea0a80496439349020b
